model,prompt_type,prompt_index,split,Category,TP,FP,FN,P,R,F0.5
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:NOUN:POSS,0,0,5,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:OTHER,1,22,53,0.0435,0.0185,0.0342
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:PART,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:PREP,0,1,46,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:PRON,1,1,17,0.5,0.0556,0.1923
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:PUNCT,1,18,44,0.0526,0.0222,0.0413
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:VERB,2,5,22,0.2857,0.0833,0.1923
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:VERB:FORM,0,0,2,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:VERB:TENSE,1,2,21,0.3333,0.0455,0.1471
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:ADJ,0,0,10,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:ADV,1,1,26,0.5,0.037,0.1429
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:CONJ,0,0,16,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:CONTR,0,0,1,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:DET,9,10,205,0.4737,0.0421,0.1552
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:NOUN,0,2,25,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:NOUN:POSS,0,1,7,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:OTHER,1,84,83,0.0118,0.0119,0.0118
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:PART,0,0,6,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:PREP,4,3,86,0.5714,0.0444,0.1695
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:PRON,3,6,68,0.3333,0.0423,0.1402
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:PUNCT,3,18,182,0.1429,0.0162,0.0558
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:VERB,2,4,48,0.3333,0.04,0.1351
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:VERB:FORM,3,1,7,0.75,0.3,0.5769
bigscience/bloomz-7b1,1-shot,2,fce-dev,M:VERB:TENSE,0,1,45,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:ADJ,1,17,34,0.0556,0.0286,0.0467
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:ADJ:FORM,2,1,7,0.6667,0.2222,0.4762
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:ADV,0,2,27,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:CONJ,0,0,4,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:CONTR,0,3,8,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:DET,3,1,74,0.75,0.039,0.1613
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:MORPH,15,5,56,0.75,0.2113,0.4967
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:NOUN,12,65,116,0.1558,0.0938,0.1376
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:NOUN:INFL,8,1,10,0.8889,0.4444,0.7407
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:NOUN:NUM,11,6,125,0.6471,0.0809,0.2696
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:NOUN:POSS,0,1,1,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:ORTH,7,26,95,0.2121,0.0686,0.1496
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:OTHER,10,47,384,0.1754,0.0254,0.0804
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:PART,1,0,10,1.0,0.0909,0.3333
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:PREP,7,3,209,0.7,0.0324,0.1367
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:PRON,0,3,43,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:PUNCT,2,17,113,0.1053,0.0174,0.0524
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:SPELL,155,34,198,0.8201,0.4391,0.6988
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:VERB,3,15,174,0.1667,0.0169,0.0602
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:VERB:FORM,25,12,59,0.6757,0.2976,0.5388
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:VERB:INFL,0,0,5,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:VERB:SVA,2,0,44,1.0,0.0435,0.1852
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:VERB:TENSE,10,9,126,0.5263,0.0735,0.2358
bigscience/bloomz-7b1,1-shot,2,fce-dev,R:WO,3,4,57,0.4286,0.05,0.1705
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:ADJ,0,7,11,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:ADV,2,7,29,0.2222,0.0645,0.1493
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:CONJ,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:CONTR,0,1,5,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:DET,1,1,90,0.5,0.011,0.0505
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:NOUN,2,4,24,0.3333,0.0769,0.2
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:NOUN:POSS,0,0,5,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:OTHER,1,11,53,0.0833,0.0185,0.049
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:PART,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:PREP,0,2,46,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:PRON,1,1,17,0.5,0.0556,0.1923
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:PUNCT,0,12,45,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:VERB,1,4,23,0.2,0.0417,0.1136
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:VERB:FORM,0,0,2,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,2,fce-dev,U:VERB:TENSE,1,1,21,0.5,0.0455,0.1667
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:ADJ,0,0,10,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:ADV,1,1,26,0.5,0.037,0.1429
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:CONJ,0,0,16,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:CONTR,0,1,1,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:DET,10,6,204,0.625,0.0467,0.1799
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:NOUN,1,4,24,0.2,0.04,0.1111
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:NOUN:POSS,0,1,7,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:OTHER,1,69,83,0.0143,0.0119,0.0137
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:PART,0,0,6,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:PREP,3,4,87,0.4286,0.0333,0.1271
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:PRON,2,3,69,0.4,0.0282,0.1099
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:PUNCT,5,21,180,0.1923,0.027,0.0865
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:VERB,3,1,47,0.75,0.06,0.2273
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:VERB:FORM,3,0,7,1.0,0.3,0.6818
bigscience/bloomz-7b1,1-shot,3,fce-dev,M:VERB:TENSE,0,1,45,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:ADJ,1,19,34,0.05,0.0286,0.0435
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:ADJ:FORM,1,1,8,0.5,0.1111,0.2941
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:ADV,3,7,24,0.3,0.1111,0.2239
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:CONJ,0,0,4,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:CONTR,0,1,8,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:DET,2,5,75,0.2857,0.026,0.0952
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:MORPH,11,2,60,0.8462,0.1549,0.4472
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:NOUN,11,115,117,0.0873,0.0859,0.087
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:NOUN:INFL,6,1,12,0.8571,0.3333,0.6522
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:NOUN:NUM,8,2,128,0.8,0.0588,0.2273
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:NOUN:POSS,0,0,1,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:ORTH,4,13,98,0.2353,0.0392,0.1176
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:OTHER,9,68,385,0.1169,0.0228,0.0641
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:PART,1,1,10,0.5,0.0909,0.2632
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:PREP,5,2,211,0.7143,0.0231,0.1025
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:PRON,0,2,43,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:PUNCT,4,15,111,0.2105,0.0348,0.1047
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:SPELL,134,29,219,0.8221,0.3796,0.6667
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:VERB,3,11,174,0.2143,0.0169,0.0644
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:VERB:FORM,22,10,62,0.6875,0.2619,0.5189
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:VERB:INFL,0,0,5,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:VERB:SVA,2,0,44,1.0,0.0435,0.1852
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:VERB:TENSE,7,6,129,0.5385,0.0515,0.1862
bigscience/bloomz-7b1,1-shot,3,fce-dev,R:WO,3,5,57,0.375,0.05,0.163
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:ADJ,0,2,11,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:ADV,0,6,31,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:CONJ,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:CONTR,0,1,5,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:DET,0,0,91,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:NOUN,2,7,24,0.2222,0.0769,0.1613
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:NOUN:POSS,0,0,5,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:OTHER,1,11,53,0.0833,0.0185,0.049
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:PART,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:PREP,0,0,46,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:PRON,1,0,17,1.0,0.0556,0.2273
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:PUNCT,0,13,45,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:VERB,0,1,24,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:VERB:FORM,0,0,2,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,3,fce-dev,U:VERB:TENSE,0,0,22,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:ADJ,0,0,10,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:ADV,1,2,26,0.3333,0.037,0.1282
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:CONJ,0,0,16,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:CONTR,0,0,1,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:DET,15,9,199,0.625,0.0701,0.2419
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:NOUN,0,1,25,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:NOUN:POSS,0,0,7,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:OTHER,2,10,82,0.1667,0.0238,0.0758
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:PART,0,0,6,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:PREP,3,3,87,0.5,0.0333,0.1316
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:PRON,4,5,67,0.4444,0.0563,0.1869
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:PUNCT,6,21,179,0.2222,0.0324,0.1024
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:VERB,4,5,46,0.4444,0.08,0.2326
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:VERB:FORM,3,0,7,1.0,0.3,0.6818
bigscience/bloomz-7b1,2-shot,1,fce-dev,M:VERB:TENSE,0,0,45,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:ADJ,1,16,34,0.0588,0.0286,0.0485
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:ADJ:FORM,3,2,6,0.6,0.3333,0.5172
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:ADV,0,2,27,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:CONJ,1,0,3,1.0,0.25,0.625
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:CONTR,0,3,8,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:DET,3,3,74,0.5,0.039,0.1485
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:MORPH,12,7,59,0.6316,0.169,0.4082
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:NOUN,10,52,118,0.1613,0.0781,0.133
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:NOUN:INFL,8,0,10,1.0,0.4444,0.8
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:NOUN:NUM,17,8,119,0.68,0.125,0.3602
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:NOUN:POSS,0,1,1,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:ORTH,13,25,89,0.3421,0.1275,0.2559
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:OTHER,13,29,381,0.3095,0.033,0.1157
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:PART,3,0,8,1.0,0.2727,0.6522
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:PREP,10,4,206,0.7143,0.0463,0.1838
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:PRON,1,6,42,0.1429,0.0233,0.0704
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:PUNCT,1,16,114,0.0588,0.0087,0.0273
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:SPELL,156,41,197,0.7919,0.4419,0.6836
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:VERB,4,10,173,0.2857,0.0226,0.0858
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:VERB:FORM,25,11,59,0.6944,0.2976,0.5482
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:VERB:INFL,2,0,3,1.0,0.4,0.7692
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:VERB:SVA,5,0,41,1.0,0.1087,0.3788
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:VERB:TENSE,10,8,126,0.5556,0.0735,0.2404
bigscience/bloomz-7b1,2-shot,1,fce-dev,R:WO,4,1,56,0.8,0.0667,0.25
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:ADJ,0,2,11,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:ADV,2,9,29,0.1818,0.0645,0.1333
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:CONJ,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:CONTR,0,1,5,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:DET,0,2,91,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:NOUN,2,6,24,0.25,0.0769,0.1724
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:NOUN:POSS,0,0,5,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:OTHER,2,11,52,0.1538,0.037,0.0943
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:PART,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:PREP,0,3,46,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:PRON,1,1,17,0.5,0.0556,0.1923
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:PUNCT,0,16,45,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:VERB,1,3,23,0.25,0.0417,0.125
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:VERB:FORM,0,0,2,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,1,fce-dev,U:VERB:TENSE,2,1,20,0.6667,0.0909,0.2941
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:ADJ,0,0,10,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:ADV,1,2,26,0.3333,0.037,0.1282
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:CONJ,0,0,16,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:CONTR,0,0,1,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:DET,10,6,204,0.625,0.0467,0.1799
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:NOUN,0,1,25,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:NOUN:POSS,0,0,7,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:OTHER,1,49,83,0.02,0.0119,0.0176
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:PART,0,0,6,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:PREP,4,4,86,0.5,0.0444,0.1639
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:PRON,3,8,68,0.2727,0.0423,0.1304
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:PUNCT,4,18,181,0.1818,0.0216,0.0733
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:VERB,2,1,48,0.6667,0.04,0.1613
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:VERB:FORM,3,0,7,1.0,0.3,0.6818
bigscience/bloomz-7b1,2-shot,2,fce-dev,M:VERB:TENSE,0,1,45,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:ADJ,1,11,34,0.0833,0.0286,0.0602
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:ADJ:FORM,2,1,7,0.6667,0.2222,0.4762
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:ADV,0,1,27,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:CONJ,0,0,4,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:CONTR,0,2,8,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:DET,4,0,73,1.0,0.0519,0.2151
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:MORPH,11,5,60,0.6875,0.1549,0.4074
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:NOUN,11,37,117,0.2292,0.0859,0.1719
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:NOUN:INFL,8,1,10,0.8889,0.4444,0.7407
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:NOUN:NUM,14,5,122,0.7368,0.1029,0.3302
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:NOUN:POSS,0,1,1,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:ORTH,12,25,90,0.3243,0.1176,0.24
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:OTHER,10,23,384,0.303,0.0254,0.0951
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:PART,1,0,10,1.0,0.0909,0.3333
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:PREP,6,4,210,0.6,0.0278,0.1172
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:PRON,0,4,43,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:PUNCT,0,14,115,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:SPELL,152,44,201,0.7755,0.4306,0.6684
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:VERB,3,11,174,0.2143,0.0169,0.0644
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:VERB:FORM,25,10,59,0.7143,0.2976,0.558
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:VERB:INFL,0,0,5,1.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:VERB:SVA,3,0,43,1.0,0.0652,0.2586
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:VERB:TENSE,10,10,126,0.5,0.0735,0.2315
bigscience/bloomz-7b1,2-shot,2,fce-dev,R:WO,4,1,56,0.8,0.0667,0.25
bigscience/bloomz-7b1,2-shot,2,fce-dev,U:ADJ,0,2,11,0.0,0.0,0.0
bigscience/bloomz-7b1,2-shot,2,fce-dev,U:ADV,2,9,29,0.1818,0.0645,0.1333
bigscience/bloomz-7b1,2-shot,2,fce-dev,U:CONJ,0,0,3,1.0,0.0,0.0
